,a,feijoada,está,quase,completa
N,0.0,1.0,0.0,4.0,9.0
ART,0.0,5.0,0.0,4.0,9.0
NPROP,0.0,1.0,0.0,4.0,9.0
PREP,0.0,3.0,0.0,4.0,9.0
V,0.0,3.0,0.0,15.0,9.0
PREP|+,0.0,5.0,0.0,4.0,9.0
",",0.0,1.0,0.0,4.0,9.0
ADJ,0.0,1.0,0.0,4.0,9.0
<s>,0.0,1.0,0.0,4.0,9.0
ADV,0.0,1.0,0.0,4.0,9.0
KC,0.0,1.0,0.0,4.0,9.0
PCP,0.0,1.0,0.0,15.0,9.0
"""",0.0,1.0,0.0,4.0,9.0
PROADJ,0.0,1.0,0.0,4.0,9.0
NUM,0.0,1.0,0.0,4.0,9.0
VAUX,0.0,3.0,0.0,15.0,9.0
PROPESS,0.0,3.0,0.0,15.0,9.0
KS,0.0,3.0,0.0,4.0,9.0
PRO-KS-REL,0.0,19.0,0.0,4.0,9.0
PROSUB,0.0,1.0,0.0,4.0,9.0
),0.0,2.0,0.0,4.0,9.0
(,0.0,1.0,0.0,4.0,9.0
PDEN,0.0,1.0,0.0,4.0,9.0
:,0.0,19.0,0.0,4.0,9.0
N|AP,0.0,1.0,0.0,4.0,9.0
-,0.0,1.0,0.0,4.0,9.0
N|EST,0.0,1.0,0.0,4.0,9.0
CUR,0.0,3.0,0.0,4.0,9.0
V|+,0.0,3.0,0.0,15.0,9.0
PRO-KS,0.0,3.0,0.0,4.0,9.0
?,0.0,19.0,0.0,4.0,9.0
;,0.0,1.0,0.0,4.0,9.0
!,0.0,19.0,0.0,4.0,9.0
N|HOR,0.0,1.0,0.0,4.0,9.0
ADV-KS-REL,0.0,19.0,0.0,4.0,9.0
N|TEL,0.0,3.0,0.0,4.0,0.0
',0.0,1.0,0.0,4.0,9.0
IN,0.0,37.0,0.0,4.0,0.0
ADV-KS,0.0,3.0,0.0,4.0,9.0
N|DAT,0.0,3.0,0.0,2.0,0.0
N|DAD,0.0,3.0,0.0,4.0,0.0
ADJ|EST,0.0,1.0,0.0,4.0,9.0
KC|[,0.0,51.0,0.0,4.0,0.0
KC|],0.0,2.0,0.0,2.0,9.0
VAUX|+,0.0,19.0,0.0,15.0,9.0
/,0.0,1.0,0.0,4.0,0.0
...,0.0,0.0,0.0,0.0,0.0
.,0.0,0.0,0.0,0.0,0.0
$,0.0,1.0,0.0,4.0,0.0
NPROP|+,0.0,1.0,0.0,0.0,0.0
[,0.0,2.0,0.0,2.0,0.0
PREP|[,0.0,51.0,0.0,4.0,0.0
ADV|[,0.0,3.0,0.0,4.0,9.0
=,0.0,2.0,0.0,2.0,0.0
ADV|],0.0,9.0,0.0,4.0,9.0
ADJ|+,0.0,1.0,0.0,0.0,0.0
((,0.0,2.0,0.0,2.0,0.0
)),0.0,2.0,0.0,2.0,0.0
PREP|],0.0,9.0,0.0,0.0,9.0
ADV|EST,0.0,10.0,0.0,0.0,0.0
ADV|HOR,0.0,1.0,0.0,4.0,0.0
ART|+,0.0,5.0,0.0,4.0,0.0
ADV|+,0.0,19.0,0.0,0.0,0.0
PREP|+],0.0,9.0,0.0,0.0,9.0
PROP,0.0,1.0,0.0,0.0,0.0
V|EST,0.0,26.0,0.0,0.0,0.0
KS|[,0.0,0.0,0.0,4.0,0.0
ART|EST,0.0,9.0,0.0,0.0,9.0
KS|],0.0,10.0,0.0,0.0,0.0
NPRO,0.0,1.0,0.0,0.0,0.0
PREP|EST,0.0,26.0,0.0,0.0,0.0
`,0.0,3.0,0.0,0.0,0.0
NUM|TEL,0.0,0.0,0.0,0.0,0.0
PREP|,0.0,1.0,0.0,0.0,0.0
KC|EST,0.0,26.0,0.0,0.0,0.0
PROADJ|+,0.0,0.0,0.0,0.0,0.0
PROPESS|EST,0.0,24.0,0.0,0.0,0.0
PDEN|EST,0.0,0.0,0.0,0.0,0.0
PROPESS|+,0.0,2.0,0.0,2.0,0.0
KC|+,0.0,0.0,0.0,0.0,0.0
VAUX|!,0.0,0.0,0.0,0.0,0.0
IN|EST,0.0,4.0,0.0,4.0,0.0
V|!,0.0,0.0,0.0,0.0,0.0
